base,filename,extension,type,theme,period,tag 1,pct 1,tag 2,pct 2,tag 3,pct 3,tag 4,pct 4,tag 5,pct 5
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00612,FO-40-00612,tif,foto,huwelijk,40s,huwelijk,0.9994599,geboorte,0.0005400448,sint,1.8478495e-08,speelgoed,2.5748812e-09,vakantie,8.7968094e-10
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00613,FO-40-00613,tif,foto,huwelijk,40s,huwelijk,0.9999472,geboorte,5.28146e-05,sint,1.8031397e-08,speelgoed,4.0046197e-10,vakantie,3.647632e-10
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00614,FO-40-00614,tif,foto,huwelijk,40s,huwelijk,0.99562824,geboorte,0.004371639,speelgoed,6.641709e-08,sint,5.050777e-09,vakantie,7.259699e-10
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00634,FO-40-00634,tif,foto,speelgoed,40s,speelgoed,0.81277347,vakantie,0.1863046,geboorte,0.00088286994,huwelijk,2.6002508e-05,sint,1.3012624e-05
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00645,FO-40-00645,tif,foto,geboorte,40s,geboorte,0.99668247,speelgoed,0.0022412066,vakantie,0.0009941976,huwelijk,8.157898e-05,sint,4.52794e-07
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00650,FO-40-00650,tif,foto,huwelijk,40s,huwelijk,0.99997175,geboorte,2.8302497e-05,sint,1.3047088e-08,speelgoed,4.23975e-11,vakantie,1.7307608e-12
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00652,FO-40-00652,tif,foto,speelgoed,40s,speelgoed,0.9966903,sint,0.001278249,huwelijk,0.0010331348,geboorte,0.00080046867,vakantie,0.00019778196
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00654,FO-40-00654,tif,foto,sint,40s,sint,0.97876793,speelgoed,0.013593058,huwelijk,0.004026405,vakantie,0.0024295615,geboorte,0.0011829874
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00658,FO-40-00658,tif,foto,speelgoed,40s,speelgoed,0.99928963,vakantie,0.0005018848,sint,0.00019949448,geboorte,8.874174e-06,huwelijk,1.3061741e-07
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00659,FO-40-00659,tif,foto,speelgoed,40s,speelgoed,0.99995506,vakantie,1.8170787e-05,geboorte,1.7640728e-05,sint,9.114749e-06,huwelijk,5.8531686e-09
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00669,FO-40-00669,tif,foto,sint,40s,sint,0.9999721,speelgoed,1.7798815e-05,geboorte,7.11589e-06,huwelijk,3.0074855e-06,vakantie,4.638508e-10
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00674,FO-40-00674,tif,foto,huwelijk,40s,huwelijk,0.9984465,geboorte,0.0015534726,speelgoed,5.6929883e-10,sint,2.376298e-10,vakantie,1.5114582e-10
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00675,FO-40-00675,tif,foto,huwelijk,40s,huwelijk,0.99280655,geboorte,0.007192638,speelgoed,4.8180607e-07,sint,3.2873436e-07,vakantie,6.1742647e-09
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00676,FO-40-00676,tif,foto,huwelijk,40s,huwelijk,0.9989417,geboorte,0.0010583285,speelgoed,1.3334617e-08,sint,9.987528e-09,vakantie,1.5035461e-09
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00679,FO-40-00679,tif,foto,huwelijk,40s,huwelijk,0.92197865,geboorte,0.07801617,sint,4.5377346e-06,speelgoed,7.018264e-07,vakantie,1.246319e-08
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00680,FO-40-00680,tif,foto,huwelijk,40s,huwelijk,0.9735041,geboorte,0.02649137,sint,3.9764836e-06,speelgoed,4.989619e-07,vakantie,7.996946e-08
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00681,FO-40-00681,tif,foto,huwelijk,40s,huwelijk,0.9967924,geboorte,0.0032076614,sint,1.4958772e-08,speelgoed,6.068459e-09,vakantie,6.4312056e-10
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00693,FO-40-00693,tif,foto,huwelijk,40s,huwelijk,0.9997558,geboorte,0.0002442342,sint,2.3273229e-08,speelgoed,2.4432072e-09,vakantie,6.50903e-10
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00699,FO-40-00699,tif,foto,huwelijk,40s,huwelijk,0.9999957,geboorte,4.2981164e-06,sint,8.8107965e-10,speelgoed,8.46279e-11,vakantie,6.999429e-12
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00700,FO-40-00700,tif,foto,huwelijk,40s,huwelijk,0.9993718,geboorte,0.00062321237,vakantie,3.96883e-06,speelgoed,1.0111431e-06,sint,1.2073679e-07
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00713,FO-40-00713,tif,foto,huwelijk,40s,huwelijk,0.5201921,geboorte,0.47980785,speelgoed,1.3439721e-07,sint,2.1920625e-08,vakantie,9.2056816e-09
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00717,FO-40-00717,tif,foto,huwelijk,40s,huwelijk,0.99997747,geboorte,2.2500852e-05,speelgoed,3.793021e-11,sint,2.8551387e-11,vakantie,7.897072e-12
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00726,FO-40-00726,tif,foto,sint,40s,sint,0.9999906,huwelijk,4.7740646e-06,geboorte,2.7666788e-06,speelgoed,1.9211748e-06,vakantie,2.1464652e-08
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00727,FO-40-00727,tif,foto,sint,40s,huwelijk,0.47801012,geboorte,0.33611494,sint,0.18165037,speelgoed,0.0040947516,vakantie,0.00012988086
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00728,FO-40-00728,tif,foto,sint,40s,sint,0.99400055,huwelijk,0.0047163353,geboorte,0.0010744305,speelgoed,0.00020842586,vakantie,1.9363434e-07
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00729,FO-40-00729,tif,foto,sint,40s,sint,0.93999577,speelgoed,0.058495376,geboorte,0.00079462805,huwelijk,0.0006728063,vakantie,4.1349733e-05
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00730,FO-40-00730,tif,foto,sint,40s,sint,0.9832772,huwelijk,0.011360359,geboorte,0.005173591,speelgoed,0.00018244433,vakantie,6.490192e-06
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00739,FO-40-00739,tif,foto,sint,40s,sint,0.9998018,speelgoed,0.00013377536,geboorte,4.5355366e-05,huwelijk,1.9121844e-05,vakantie,1.01863655e-08
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00758,FO-40-00758,tif,foto,sint,40s,sint,0.9740276,huwelijk,0.02546073,geboorte,0.00048786023,speelgoed,2.3646891e-05,vakantie,1.7139318e-07
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00761,FO-40-00761,tif,foto,sint,40s,sint,0.9749756,huwelijk,0.02200148,speelgoed,0.0016225767,geboorte,0.0013946494,vakantie,5.6866857e-06
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00775,FO-40-00775,tif,foto,speelgoed,40s,speelgoed,0.9596688,vakantie,0.026311098,geboorte,0.013938279,sint,6.0079965e-05,huwelijk,2.1789174e-05
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00776,FO-40-00776,tif,foto,speelgoed,40s,speelgoed,0.98083407,geboorte,0.006537802,sint,0.0053803115,vakantie,0.005056252,huwelijk,0.0021914728
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00786,FO-40-00786,tif,foto,sint,40s,sint,0.9996717,speelgoed,0.00032816472,geboorte,1.2195181e-07,huwelijk,3.24689e-08,vakantie,1.6505956e-08
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00787,FO-40-00787,tif,foto,sint,40s,sint,0.999569,speelgoed,0.0002949693,huwelijk,0.00012978927,geboorte,5.891422e-06,vakantie,3.8495526e-07
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00800,FO-40-00800,tif,foto,speelgoed,40s,speelgoed,0.9983908,sint,0.0012709636,geboorte,0.00032788896,vakantie,1.0401951e-05,huwelijk,4.8491945e-08
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00801,FO-40-00801,tif,foto,speelgoed,40s,speelgoed,0.9940665,sint,0.0052127144,geboorte,0.0007011157,vakantie,1.8108576e-05,huwelijk,1.5437332e-06
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00802,FO-40-00802,tif,foto,speelgoed,40s,speelgoed,0.5840447,geboorte,0.31737837,sint,0.09857512,vakantie,1.6194708e-06,huwelijk,1.6182118e-07
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00803,FO-40-00803,tif,foto,speelgoed,40s,speelgoed,0.9454176,geboorte,0.03667776,sint,0.012817337,vakantie,0.004965058,huwelijk,0.0001221866
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00860,FO-40-00860,tif,foto,geboorte,40s,vakantie,0.98616576,speelgoed,0.01168551,geboorte,0.002142663,huwelijk,5.8506635e-06,sint,1.7302834e-07
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com/bachelorproef/FO-40-00882,FO-40-00882,tif,foto,geboorte,40s,geboorte,0.99984276,speelgoed,0.00015341926,sint,3.1117497e-06,huwelijk,7.230527e-07,vakantie,2.4928999e-09
