beeld URL,modelnaam,tag 1,tag 2,tag 3,tag 4,tag 5,tag 6,tag 7,tag 8,tag 9,tag 10,tag 11, tag 12,tag 13,tag 14,tag 15,tag 16,tag 17,tag 18,tag 19,tag 20
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0009-0063/full/full/0/default.jpg,Travel,Fountain (0.969848),Surroundings (0.73360336),Entrance (0.6298445),Terrace (0.55833626),Summer (0.36906648),Building (0.352657),Garden (0.31540143),Sports & Activities (0.27295375),Restaurant (0.22458997),Daytime (0.21525791),People (0.20118248),Communal Areas (0.19525647),View (0.1589647),Spring (0.101123296),Golf Course (0.09724572),Reception (0.090305276),Autumn (0.08995786),Winter (0.089807734),Stairs (0.08933715),Food & Beverages (0.080042176)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0014-0042/full/full/0/default.jpg,Travel,null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0016-0063/full/full/0/default.jpg,Travel,Building (0.8766738),Summer (0.68622005),View (0.6043098),Surroundings (0.36938906),Balcony (0.34945562),Garden (0.31864533),Daytime (0.28206205),Boat (0.2607059),Details (0.2094517),Terrace (0.16348249),Casino (0.1267469),Television (0.11592274),Spring (0.11378614),People (0.0947251),Nighttime (0.08639085),Entrance (0.08255689),Water Sports (0.061721925),Winter (0.061438613),Golf Course (0.059734523),Water Park (0.056735825)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0016-0088/full/full/0/default.jpg,Travel,Boat (0.91019833),People (0.9000536),Daytime (0.8229513),Sports & Activities (0.43980488),Snow & Ski Sports (0.40930957),Water Sports (0.31355748),Summer (0.3040638),Bicycling (0.23395222),Terrace (0.2150729),Water Park (0.19865611),Casino (0.19495764),Television (0.192177),Kids Area (0.17174195),Autumn (0.14082012),Animals (0.13080525),Restaurant (0.12105654),Balcony (0.11199605),Food & Beverages (0.10186185),Bar (0.10107653),Surroundings (0.097319745)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0029-0094/full/full/0/default.jpg,Travel,Surroundings (0.5946768),People (0.57962584),Sports & Activities (0.51613986),Summer (0.43735358),Bicycling (0.42314938),Restaurant (0.40378594),Daytime (0.34573436),Animals (0.33968207),Terrace (0.33641168),Beach (0.31956378),Yoga (0.27499196),Snow & Ski Sports (0.18689641),Building (0.18504153),View (0.18034637),Kids Area (0.17676455),Autumn (0.1725746),Nighttime (0.13619168),Tennis Court (0.13288732),Spring (0.13072863),Food & Beverages (0.12856436)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0029-0100/full/full/0/default.jpg,Travel,People (0.8481309),Summer (0.69751066),Daytime (0.44868767),Sports & Activities (0.43221077),Terrace (0.41130218),Yoga (0.3750667),Bicycling (0.25604698),Surroundings (0.25283384),Boat (0.24893129),Restaurant (0.23216835),Animals (0.21335347),Food & Beverages (0.18403327),Television (0.17170642),Golf Course (0.15765217),View (0.14540216),Tennis Court (0.14308259),Building (0.13715),Casino (0.12909159),Fountain (0.1253501),Autumn (0.119788505)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0037-0014/full/full/0/default.jpg,Travel,People (0.9421198),Beach (0.6742395),Wedding (0.6686261),Boat (0.4666512),Daytime (0.44027385),Water Sports (0.39594936),Snow & Ski Sports (0.27658504),Sports & Activities (0.25008932),Restaurant (0.19296902),Summer (0.18800332),Television (0.14474964),Balcony (0.106793),Spring (0.10178391),Terrace (0.095614046),Food & Beverages (0.07264231),Surroundings (0.06807594),Bicycling (0.06278339),Entrance (0.058572225),Nighttime (0.05840394),Autumn (0.056960393)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0037-0069/full/full/0/default.jpg,Travel,Water Sports (0.87252706),Beach (0.83548236),Boat (0.58603007),Surroundings (0.25104547),Daytime (0.22340402),Yoga (0.21067277),Sports & Activities (0.17831661),Summer (0.151988),People (0.08005431),Building (0.06742799),Television (0.063169025),Bicycling (0.06259663),Snow & Ski Sports (0.05575235),Balcony (0.053306967),View (0.04920084),Nighttime (0.03899821),Chair (0.034739144),Golf Course (0.033941276),Massage (0.033577744),Autumn (0.032226015)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0037-0149/full/full/0/default.jpg,Travel,People (0.5098133),Sports & Activities (0.50909513),Summer (0.42658707),Daytime (0.41599232),Entrance (0.3022423),Water Sports (0.25381926),Television (0.18545935),Building (0.17250015),Spring (0.14946142),Golf Course (0.14185897),Surroundings (0.1399369),Animals (0.12535873),Garden (0.106680535),Details (0.10159125),Bicycling (0.07937837),Autumn (0.075398006),Wellness & Spa (0.07099167),Boat (0.070952415),Fireplace (0.07076816),Kids Area (0.06256893)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/DIA-0046-00244/full/full/0/default.jpg,Travel,Boat (0.94602233),Surroundings (0.35193646),Daytime (0.31236315),Summer (0.28612965),Fireplace (0.25815248),People (0.24151711),Water Sports (0.23544084),View (0.203134),Autumn (0.18118729),Sports & Activities (0.17701697),Building (0.16835767),Entrance (0.15870926),Terrace (0.14949743),Television (0.14492626),Details (0.11156004),Winter (0.10702447),Coffee Machine (0.10639276),Bar (0.10358539),Snow & Ski Sports (0.09300265),Golf Course (0.09128879)
