tag 1,pct 1,tag 2,pct 2,tag 3,pct 3,tag 4,pct 4,tag 5,pct 5
vakantie,0.9961383,speelgoed,0.003854839,geboorte,6.817991e-06,sint,7.4781994e-08,huwelijk,1.8192727e-08
vakantie,0.9509879,huwelijk,0.045149084,speelgoed,0.0026455908,geboorte,0.0012163325,sint,1.1424169e-06
vakantie,0.83732784,huwelijk,0.14944915,geboorte,0.0074313064,speelgoed,0.005790599,sint,1.1373535e-06
vakantie,0.99833965,speelgoed,0.0011739975,geboorte,0.00046462292,huwelijk,2.1224458e-05,sint,4.66141e-07
vakantie,0.9979354,speelgoed,0.0020348388,geboorte,2.700701e-05,huwelijk,2.002325e-06,sint,7.702515e-07
vakantie,0.99859315,speelgoed,0.0012822354,geboorte,7.960764e-05,huwelijk,4.4872064e-05,sint,7.6142186e-08
vakantie,0.99992967,speelgoed,5.179474e-05,huwelijk,1.8046556e-05,geboorte,4.4029446e-07,sint,7.465978e-09
vakantie,0.9993973,speelgoed,0.00060249295,huwelijk,9.369973e-08,geboorte,8.135589e-08,sint,1.0502517e-08
geboorte,0.9999218,huwelijk,7.646818e-05,speelgoed,1.5466469e-06,sint,1.17192286e-07,vakantie,1.6236908e-10
geboorte,0.99990857,speelgoed,7.975669e-05,huwelijk,1.1724127e-05,sint,3.0952503e-09,vakantie,2.354639e-09
geboorte,0.998825,huwelijk,0.001169853,sint,3.0906451e-06,speelgoed,1.9688118e-06,vakantie,2.5471728e-10
geboorte,0.9999944,huwelijk,4.591339e-06,speelgoed,9.257709e-07,sint,2.666267e-10,vakantie,1.3359353e-10
geboorte,0.98882395,speelgoed,0.010866995,sint,0.00030760717,huwelijk,1.375619e-06,vakantie,1.575916e-08
vakantie,0.9999163,speelgoed,6.2587955e-05,huwelijk,1.0466982e-05,geboorte,1.0413475e-05,sint,1.5423824e-07
vakantie,0.9985031,speelgoed,0.0014680781,geboorte,2.5364505e-05,huwelijk,3.3156894e-06,sint,1.1453139e-07
vakantie,0.96800977,speelgoed,0.023561882,huwelijk,0.0073201903,geboorte,0.0010502271,sint,5.7947767e-05
vakantie,0.9942233,geboorte,0.0035855137,huwelijk,0.0012867952,speelgoed,0.00090430526,sint,1.4099132e-07
vakantie,0.9884056,speelgoed,0.011564098,huwelijk,2.8052827e-05,geboorte,2.127833e-06,sint,1.08491804e-07
vakantie,0.9999846,speelgoed,1.5139537e-05,geboorte,1.713984e-07,huwelijk,3.8562263e-08,sint,1.9866429e-09
vakantie,0.95046043,speelgoed,0.048186596,geboorte,0.0013476133,huwelijk,3.2057362e-06,sint,2.174843e-06
vakantie,0.9932863,speelgoed,0.0066837487,geboorte,2.9451112e-05,sint,3.7379397e-07,huwelijk,1.2232171e-07
speelgoed,0.9984415,geboorte,0.0015502133,vakantie,7.856413e-06,sint,3.954009e-07,huwelijk,5.238225e-09
vakantie,0.9961597,speelgoed,0.0037693484,geboorte,7.0111244e-05,huwelijk,6.365196e-07,sint,2.0476514e-07
vakantie,0.9990638,speelgoed,0.0007965652,huwelijk,8.1463935e-05,geboorte,5.7502202e-05,sint,6.488983e-07
vakantie,0.97245944,huwelijk,0.02629436,speelgoed,0.0010670775,geboorte,0.00017868108,sint,4.9331635e-07
vakantie,0.9986613,speelgoed,0.0010139676,huwelijk,0.0003059055,geboorte,1.8555618e-05,sint,2.972572e-07
vakantie,0.99795306,speelgoed,0.0020094116,geboorte,3.73244e-05,huwelijk,1.1107882e-07,sint,1.4599719e-08
huwelijk,0.99895656,geboorte,0.0008041701,speelgoed,0.0001459365,sint,8.941846e-05,vakantie,3.90588e-06
vakantie,0.9998714,speelgoed,8.6448585e-05,huwelijk,3.4024226e-05,geboorte,8.116807e-06,sint,5.288647e-08
geboorte,0.9986248,speelgoed,0.0010349125,sint,0.0003306494,huwelijk,9.514619e-06,vakantie,6.413963e-08
huwelijk,0.9985927,sint,0.001325226,geboorte,7.989776e-05,speelgoed,2.3195241e-06,vakantie,2.252149e-08
sint,0.848933,geboorte,0.13350317,speelgoed,0.016515845,huwelijk,0.0010444648,vakantie,3.566925e-06
geboorte,0.98696935,sint,0.007592852,speelgoed,0.005248062,huwelijk,0.0001871362,vakantie,2.6152018e-06
speelgoed,0.9586209,geboorte,0.03841145,sint,0.002963668,vakantie,3.9003166e-06,huwelijk,1.0225862e-07
huwelijk,0.37711167,speelgoed,0.3602189,geboorte,0.20670643,vakantie,0.054619595,sint,0.0013434051
geboorte,0.99960345,speelgoed,0.00034525475,huwelijk,3.9547576e-05,sint,1.1815021e-05,vakantie,2.2638307e-08
geboorte,0.99158806,huwelijk,0.0074231494,speelgoed,0.0008265976,sint,0.00016006953,vakantie,2.131198e-06
geboorte,0.9798624,speelgoed,0.019973274,sint,0.00015994874,huwelijk,4.106623e-06,vakantie,3.2341222e-07
speelgoed,0.98311114,vakantie,0.016303089,sint,0.00058015034,geboorte,5.502279e-06,huwelijk,1.011174e-07
vakantie,0.57297105,speelgoed,0.39953455,huwelijk,0.025308179,sint,0.0011025441,geboorte,0.0010836511
huwelijk,0.98692966,sint,0.0071217,geboorte,0.005901465,speelgoed,3.833186e-05,vakantie,8.872985e-06
huwelijk,0.98962516,geboorte,0.0102089755,sint,0.00016054975,speelgoed,4.210837e-06,vakantie,1.0414285e-06
