tag 1,tag 2,tag 3,tag 4,tag 5,tag 6,tag 7,tag 8,tag 9,tag 10
Photograph (0.9780999),People (0.9575554),Ceremony (0.90767914),Wedding (0.9028428),Dress (0.86797255),Snapshot (0.83863705),Event (0.83805925),Bride (0.8308599),Male (0.82597053),Gown (0.81139916)
Bride (0.9826222),Gown (0.97910255),Wedding dress (0.9772072),Photograph (0.9717129),Dress (0.9563435),Bridal veil (0.94456905),Bridal clothing (0.9433361),Lady (0.93533677),Bridal accessory (0.9257304),Veil (0.8773345)
Photograph (0.97712356),Lady (0.8953211),Bride (0.8915097),Snapshot (0.8491508),Bridal veil (0.8437078),Standing (0.842263),Dress (0.8363602),Gown (0.8015783),Tree (0.7989127),Vintage clothing (0.79386705)
Photograph (0.9749508),Snapshot (0.85752976),Black-and-white (0.74367446),Stock photography (0.7414734),Photography (0.7060428),Ceremony (0.678688),Gentleman (0.6783096),Event (0.6273696),Wedding (0.6088147),Style (0.50951844)
Photograph (0.96953756),Snapshot (0.86438924),Child (0.7929112),Retro style (0.7604914),Photography (0.72451985),Stock photography (0.70905024),Black-and-white (0.6834213),Classic (0.5666435),Vintage clothing (0.5589101),Smile (0.5404296)
Photograph (0.97131085),Snapshot (0.8681764),Stock photography (0.7674121),Photography (0.7060428),Black-and-white (0.6834213),Classic (0.5666435),null (null),null (null),null (null),null (null)
Photograph (0.97750354),Snapshot (0.87555885),Standing (0.8280285),Black-and-white (0.8265277),Bride (0.77845424),Wedding (0.7547731),Photography (0.74846256),Monochrome photography (0.73341304),Ceremony (0.7266087),Stock photography (0.72158074)
Photograph (0.97773665),Black-and-white (0.92397344),Monochrome photography (0.90126336),Snapshot (0.8695101),Wedding (0.8450269),Monochrome (0.8435845),Bride (0.8394639),Male (0.82597053),Dress (0.81474483),Ceremony (0.80941486)
Photograph (0.9760221),Lady (0.85497016),Standing (0.8481004),Snapshot (0.8473898),Black-and-white (0.7811979),Stock photography (0.76947427),Photography (0.7640012),Vintage clothing (0.7469241),Wedding (0.7184072),Dress (0.6939251)
Photograph (0.95591426),Snapshot (0.8291832),Event (0.8125658),Monochrome (0.77153015),Black-and-white (0.6834213),Photography (0.62422496),Family (0.6023483),null (null),null (null),null (null)
Photograph (0.9567608),Snapshot (0.8291832),Black-and-white (0.6834213),Event (0.6704324),Monochrome (0.64315295),Classic (0.5666435),Family (0.5526222),null (null),null (null),null (null)
Photograph (0.97826916),Snapshot (0.8869932),Dress (0.86037284),Black-and-white (0.8535379),Wedding (0.8400347),Wedding dress (0.7861144),Ceremony (0.77782214),Photography (0.7640012),Bride (0.7489722),Vintage clothing (0.7469241)
Photograph (0.9785367),Black-and-white (0.90666974),Snapshot (0.878202),Wedding (0.86411947),Monochrome photography (0.8625239),Ceremony (0.86196226),Event (0.79797906),Wedding dress (0.79623526),Bride (0.7939479),Monochrome (0.7938966)
Photograph (0.97405815),People (0.93702155),Social group (0.93057466),Snapshot (0.89873016),Photography (0.74846256),Black-and-white (0.6834213),Vintage clothing (0.65360206),Stock photography (0.62054056),Family (0.60927975),Monochrome (0.60101867)
Photograph (0.97682273),Snapshot (0.892937),Vintage clothing (0.87815714),Black-and-white (0.7811979),Headpiece (0.755875),Stock photography (0.7341036),Photography (0.7060428),Monochrome (0.64315295),Ceremony (0.6345439),Family (0.6318894)
Photograph (0.9765589),Snapshot (0.8825996),Headpiece (0.8449792),Black-and-white (0.7811979),Vintage clothing (0.7597298),Stock photography (0.7529399),Photography (0.72451985),Hair accessory (0.6724476),Ceremony (0.6640033),Event (0.6273696)
Photograph (0.97420764),Snapshot (0.8473898),Building (0.6739131),House (0.63131946),Wedding (0.5879306),Classic (0.5666435),Ceremony (0.56492394),Black-and-white (0.564079),Car (0.5562444),Vehicle (0.54377306)
Photograph (0.9765211),Snapshot (0.85752976),Classic (0.76693135),Black-and-white (0.74367446),Dress (0.73837346),Vintage clothing (0.6885432),Event (0.6704324),Stock photography (0.65439934),Photography (0.62422496),Gown (0.55945504)
Photograph (0.977542),Snapshot (0.8681764),Black-and-white (0.8415112),Ceremony (0.78321075),Wedding (0.7737538),Monochrome photography (0.76222306),Photography (0.73799706),Event (0.73256063),Rehearsal dinner (0.716971),Dress (0.7088016)
Photograph (0.97516763),Snapshot (0.87193304),Retro style (0.8174493),Cake decorating (0.7637377),Black-and-white (0.74367446),Stock photography (0.7313089),Photography (0.6778865),Anniversary (0.6273878),Event (0.6273696),Vintage clothing (0.6085351)
Land vehicle (0.9961627),Vehicle (0.99030316),Car (0.98701257),Motor vehicle (0.98018134),Classic (0.9337109),Classic car (0.9023371),Coupé (0.89416146),Vintage car (0.8429019),City car (0.78796035),Subcompact car (0.75847507)
Photograph (0.97582537),Clothing (0.92588496),Dress (0.91802436),Lady (0.88771355),Wedding dress (0.8841859),Bridal veil (0.8814435),Standing (0.8727902),Snapshot (0.87075907),Gown (0.86521584),Bridal accessory (0.8450926)
Photograph (0.9722285),Standing (0.9404689),Snapshot (0.8773607),Suit (0.8367674),Gentleman (0.8215068),Vintage clothing (0.7288545),Formal wear (0.6369653),Photography (0.62422496),Plant (0.58547497),Black-and-white (0.564079)
Photograph (0.97882843),Wedding dress (0.9712394),Bridal veil (0.96641207),Gown (0.9631924),Bride (0.9624623),Dress (0.93497056),Bridal clothing (0.9282836),Bridal accessory (0.91707724),Lady (0.88771355),Snapshot (0.8850622)
Photograph (0.9790434),Facial expression (0.944714),Bridal veil (0.9136938),Wedding dress (0.9086995),Snapshot (0.8966849),Black-and-white (0.88501847),Bride (0.88269603),Bridal clothing (0.86646926),Ceremony (0.8519983),Monochrome photography (0.8442068)
Photograph (0.97797644),Bridal veil (0.9749203),Bride (0.9406934),Veil (0.9125419),Bridal accessory (0.9072948),Lady (0.8917463),Wedding dress (0.8725198),Snapshot (0.87249446),Wedding (0.8659349),Ceremony (0.84914446)
Photograph (0.9725682),Retro style (0.8852265),Classic (0.8841431),Snapshot (0.86674637),Vintage clothing (0.85203207),Lady (0.8433756),Stock photography (0.7313089),Gentleman (0.7103473),Photography (0.62422496),Dress (0.6146649)
Photograph (0.9714754),Snapshot (0.87555885),Vintage clothing (0.84528613),Gentleman (0.78012156),Retro style (0.7653816),Stock photography (0.66633123),Classic (0.63818127),Photography (0.62422496),Picture frame (0.5834474),Black-and-white (0.564079)
Photograph (0.9685086),Snapshot (0.865206),Vintage clothing (0.8218173),Retro style (0.7870896),Classic (0.7460761),Stock photography (0.7136223),Family (0.61145276),Gentleman (0.54518616),Child (0.5202996),null (null)
Photograph (0.9734192),Lady (0.87780344),Snapshot (0.8681764),Vintage clothing (0.85711396),Standing (0.842263),Retro style (0.825733),Fashion (0.7979212),Classic (0.76693135),Dress (0.74801785),Gentleman (0.70063037)
Photograph (0.9700929),Snapshot (0.87900805),Black-and-white (0.8072261),Stock photography (0.70905024),Photography (0.7060428),Monochrome (0.64315295),Grandparent (0.6169734),Family (0.6047318),Monochrome photography (0.5780445),Child (0.5202996)
Photograph (0.9773506),Snapshot (0.8764809),Stock photography (0.7652079),Black-and-white (0.74367446),Photography (0.72451985),Ceremony (0.69962174),Event (0.6942809),Gentleman (0.68999803),Vintage clothing (0.67777884),Dress (0.63002753)
Photograph (0.9778157),Veil (0.9230955),Bridal veil (0.91089684),Ceremony (0.91060054),Wedding dress (0.89894956),Wedding (0.8811499),Bride (0.8631364),Snapshot (0.8626501),Gown (0.85614455),Dress (0.8479838)
Gown (0.9907063),Wedding dress (0.9860861),Dress (0.9838683),Photograph (0.97915995),Bridal clothing (0.9546058),Bride (0.95391184),Clothing (0.9312256),Bridal veil (0.9294107),Bridal accessory (0.9243069),Lady (0.9040204)
Photograph (0.97670984),People (0.9504782),Snapshot (0.880887),Event (0.8067209),Photography (0.80182755),Ceremony (0.7814452),Black-and-white (0.74367446),Stock photography (0.69832796),Family (0.69205797),Wedding (0.68422395)
Photograph (0.9785834),Snapshot (0.8933365),Photography (0.8163997),Bride (0.79833585),Classic (0.7840004),Wedding (0.77531976),Wedding dress (0.7627683),Photographic paper (0.7507844),Vintage clothing (0.7435075),Stock photography (0.70905024)
Photograph (0.9776974),Bridal veil (0.8762661),Snapshot (0.87304014),Lady (0.8433756),Wedding (0.8127538),Ceremony (0.8080407),Black-and-white (0.8072261),Veil (0.7984449),Photography (0.7700283),Bride (0.75357807)
Photograph (0.97617733),Snapshot (0.87459046),Black-and-white (0.7811979),Photography (0.74846256),Vintage clothing (0.7123725),Event (0.6942809),Classic (0.63818127),Family (0.61955506),Stock photography (0.5944116),Retro style (0.5859853)
Swan (0.981236),White (0.9705721),Photograph (0.96191007),Water bird (0.95339614),Bird (0.92540616),Ducks, geese and swans (0.91421694),Duck (0.8857465),Black-and-white (0.86344093),Waterfowl (0.8444569),Snapshot (0.8411401)
Photograph (0.96668327),Snapshot (0.8750807),Event (0.83421856),Black-and-white (0.7811979),Meal (0.74363613),Monochrome (0.7423392),Photography (0.7060428),Family (0.60927975),Monochrome photography (0.5780445),null (null)
Photograph (0.9770483),People (0.94334805),Snapshot (0.8988956),Standing (0.8727902),Vintage clothing (0.80874056),Retro style (0.7653816),Classic (0.7460761),Stock photography (0.70905024),Photography (0.7060428),Family (0.68569064)
Photograph (0.9785834),People (0.9393769),Snapshot (0.90256),Standing (0.8811611),Photography (0.7876507),Black-and-white (0.74367446),Stock photography (0.7313089),Vintage clothing (0.72491986),Classic (0.7198517),Retro style (0.6609029)
Photograph (0.97844535),Standing (0.9014989),Snapshot (0.88618803),Black-and-white (0.8265277),Male (0.8184922),Dress (0.79869276),Ceremony (0.7796494),Bride (0.77845424),Formal wear (0.772493),Wedding (0.77218604)
Photograph (0.97288764),Snapshot (0.85373634),Standing (0.7958224),Gentleman (0.7756498),Gown (0.76076955),Vintage clothing (0.7469241),Formal wear (0.7253138),Dress (0.6855851),Classic (0.63818127),Ceremony (0.62767786)
Photograph (0.9735307),Wedding dress (0.92166835),Formal wear (0.9201312),Bride (0.9049515),Gown (0.8897912),Dress (0.8669326),Bridal clothing (0.864967),Snapshot (0.85507596),Lady (0.85497016),Wedding (0.8535299)
Photograph (0.97872776),Bride (0.88709074),Snapshot (0.88534963),Wedding dress (0.80217564),Photography (0.7994286),Vintage clothing (0.7534916),Classic (0.7460761),Black-and-white (0.74367446),Wedding (0.7385624),Bridal clothing (0.716961)
Bridal veil (0.981837),Photograph (0.9767851),Bride (0.9685648),Dress (0.9677859),Bridal accessory (0.9650785),Wedding dress (0.9637644),White (0.95470667),Gown (0.95374453),Veil (0.9347821),Clothing (0.92941314)
Photograph (0.9743536),Snapshot (0.8607499),Gentleman (0.8055267),Vintage clothing (0.796118),Stock photography (0.7788702),Formal wear (0.7253138),Wedding (0.6480628),Photography (0.62422496),Ceremony (0.5759857),Suit (0.56812674)
Photograph (0.97358567),Snapshot (0.85373634),Black-and-white (0.8072261),Gentleman (0.7274816),Stock photography (0.7177787),Classic (0.68556935),Photography (0.6778865),Room (0.6566393),Monochrome (0.64315295),Vintage clothing (0.61695933)
Photograph (0.9760221),Snapshot (0.8797817),Black-and-white (0.7811979),Vintage clothing (0.774055),Gentleman (0.74867886),Photography (0.6778865),Stock photography (0.67624575),Wedding (0.57959265),Monochrome (0.5442906),Ceremony (0.53959894)
Photograph (0.9680666),Snapshot (0.83273077),Event (0.710556),Gentleman (0.68999803),Black-and-white (0.6834213),Photography (0.62422496),Monochrome (0.5442906),null (null),null (null),null (null)
Photograph (0.973694),Snapshot (0.87014455),Stock photography (0.745704),Black-and-white (0.74367446),Gentleman (0.7274816),Photography (0.72451985),Vintage clothing (0.7033192),Monochrome (0.64315295),Picture frame (0.6417252),Event (0.6273696)
Photograph (0.9753368),Bride (0.8696253),Bridal veil (0.867279),Snapshot (0.85373634),Wedding (0.85180867),Wedding dress (0.84140766),Dress (0.8409307),Gown (0.82381815),Ceremony (0.818571),Bridal clothing (0.7907412)
Photograph (0.97307056),Bridal veil (0.9520091),Bride (0.92588896),Wedding dress (0.897319),Lady (0.87780344),Bridal accessory (0.850129),Snapshot (0.8434104),Veil (0.82554245),Bridal clothing (0.8229522),Dress (0.79869276)
Photograph (0.97472733),Snapshot (0.8764809),Black-and-white (0.8717613),Gentleman (0.78434706),Monochrome photography (0.76222306),Vintage clothing (0.7597298),Monochrome (0.7423392),Photography (0.73799706),Stock photography (0.70398533),Wedding (0.6280398)
Photograph (0.97915995),Bride (0.9282973),Black-and-white (0.92397344),Dress (0.912092),Monochrome photography (0.89287084),Snapshot (0.8750807),Wedding (0.867767),Wedding dress (0.8674565),Gown (0.8600683),Photography (0.84593236)
Photograph (0.9792845),Bride (0.94325864),Snapshot (0.8931375),Lady (0.85497016),Black-and-white (0.8415112),Standing (0.81915694),Photography (0.8149132),Stock photography (0.7674121),Dress (0.7524835),Wedding (0.7369153)
Photograph (0.9740075),Black-and-white (0.899411),Snapshot (0.8975516),Photography (0.7876507),Stock photography (0.77233446),Monochrome photography (0.73341304),Dress (0.6146649),Monochrome (0.60101867),Photographic paper (0.5286124),Style (0.50951844)
Photograph (0.95753026),Facial expression (0.94476414),Ceremony (0.9232627),Marriage (0.87748826),Wedding (0.8752824),Event (0.8502314),Tradition (0.825307),Snapshot (0.82509655),Wedding dress (0.82133144),Male (0.8184922)
Photograph (0.9567608),Black-and-white (0.6834213),Family (0.65172046),Event (0.6273696),null (null),null (null),null (null),null (null),null (null),null (null)
Photograph (0.9752948),Snapshot (0.8586587),Lady (0.8433756),Ceremony (0.819818),Wedding (0.8143264),Black-and-white (0.7811979),Vintage clothing (0.77672464),Headpiece (0.7676628),Event (0.7634309),Dress (0.72761357)
Photograph (0.9792845),Gown (0.91316295),Dress (0.89907426),Ceremony (0.89523935),Snapshot (0.89190894),Wedding (0.8811499),Bride (0.8805067),Black-and-white (0.8717613),Event (0.84422606),Standing (0.83563834)
Photograph (0.9785834),Gown (0.9590416),Dress (0.9524162),Wedding dress (0.95144784),Bride (0.9406934),Ballroom dance (0.9149682),Bridal clothing (0.908186),Lady (0.883115),Black-and-white (0.8788672),Snapshot (0.87304014)
Photograph (0.9752526),Snapshot (0.86599094),Event (0.83805925),Dress (0.8280758),Ceremony (0.80380857),Wedding (0.8018045),Formal wear (0.7976953),Black-and-white (0.7811979),Wedding dress (0.77357596),Gown (0.7727717)
Photograph (0.973694),Wedding dress (0.93144107),Gown (0.928228),Dress (0.9253359),Ceremony (0.91133255),Bride (0.9049515),Wedding (0.9004733),Black-and-white (0.899411),Bridal clothing (0.87841195),Event (0.8708519)
Photograph (0.9768979),Snapshot (0.8921181),Black-and-white (0.8788672),Dance (0.84631294),Event (0.82724446),Vintage clothing (0.82004493),Standing (0.8086237),Monochrome (0.7833997),Photography (0.77525955),Stock photography (0.7341036)
Photograph (0.9653762),Snapshot (0.8635382),Stock photography (0.66633123),Room (0.6566393),Event (0.6273696),Photography (0.62422496),Black-and-white (0.564079),Monochrome (0.5442906),Vintage clothing (0.53451407),Family (0.5103591)
Photograph (0.9766345),Dress (0.9044988),Snapshot (0.8832447),Vintage clothing (0.8709315),Black-and-white (0.86344093),Standing (0.85329694),Lady (0.8433756),Wedding dress (0.80802304),Gown (0.7747013),Monochrome (0.77153015)
Photograph (0.9664844),Snapshot (0.87555885),Black-and-white (0.8265277),Photography (0.7060428),Monochrome (0.70229715),Event (0.6273696),Family (0.5103591),null (null),null (null),null (null)
Photograph (0.9660654),Standing (0.8621847),Snapshot (0.8586587),Suit (0.6952474),Gentleman (0.68999803),Black-and-white (0.6834213),Plant (0.6244105),Formal wear (0.60795254),Flower (0.571449),Door (0.52697325)
Gown (0.9853002),Wedding dress (0.983714),Photograph (0.97893333),Bride (0.9787439),Dress (0.97257227),Bridal clothing (0.9487812),Bridal veil (0.9434665),Clothing (0.93973804),Bridal accessory (0.91854036),Lady (0.9174048)
Bridal veil (0.9803632),Photograph (0.97785556),Wedding dress (0.9655941),Veil (0.964998),Bride (0.9624623),Gown (0.952454),Facial expression (0.94438577),Bridal clothing (0.9347959),Bridal accessory (0.9221591),Dress (0.9174447)
Photograph (0.97670984),Bride (0.9406934),Headpiece (0.92307884),Bridal veil (0.9191309),Dress (0.8955062),Gown (0.8945296),Hair accessory (0.8809722),Wedding dress (0.8758729),Veil (0.85648406),Snapshot (0.8434104)
Photograph (0.9614846),Black-and-white (0.8415112),Snapshot (0.8358544),Room (0.71392286),Tree (0.68692183),Event (0.6273696),Plant (0.6244105),Photography (0.62422496),Monochrome (0.60101867),Table (0.58647066)
Photograph (0.95753026),Event (0.84292686),Rehearsal dinner (0.6359377),Table (0.58647066),Black-and-white (0.564079),Family (0.55716366),null (null),null (null),null (null),null (null)
Photograph (0.95497644),Snapshot (0.8773607),Architecture (0.78712916),Car (0.69497776),Classic (0.68556935),Black-and-white (0.6834213),Monochrome (0.67593247),Building (0.6437648),Vintage clothing (0.63992953),Vehicle (0.61333245)
Photograph (0.97797644),People (0.9393769),Snapshot (0.8937296),Lady (0.87780344),Standing (0.8579632),Vintage clothing (0.8067352),Fashion (0.8057914),Dress (0.8036163),Stock photography (0.7663289),Photography (0.7640012)
Photograph (0.9786788),Bride (0.9381601),Ceremony (0.9271423),Wedding dress (0.9119415),Wedding (0.9052731),Snapshot (0.8805255),Gown (0.88016135),Dress (0.87487936),Bridal veil (0.87092906),Bridal clothing (0.85741377)
Photograph (0.97670984),Dress (0.89907426),Wedding dress (0.8691489),Snapshot (0.85752976),Gown (0.8521625),Veil (0.84881663),Ceremony (0.8481786),Bride (0.84806186),Event (0.82220435),Standing (0.81915694)
Photograph (0.97712356),Classic (0.92378473),Snapshot (0.8908339),Vehicle (0.7563799),Photography (0.74846256),Car (0.6985113),Vintage clothing (0.6885432),Retro style (0.67076075),Vintage car (0.54494536),null (null)
Photograph (0.97849077),Wedding dress (0.92166835),Bride (0.8915097),Ceremony (0.8900315),Snapshot (0.88618803),Wedding (0.8752824),Bridal veil (0.86355305),Gown (0.8508215),Dress (0.84524107),Black-and-white (0.8415112)
Photograph (0.9764832),Snapshot (0.8635382),Standing (0.7958224),Almshouse (0.7228048),Photography (0.7060428),Stock photography (0.70398533),Black-and-white (0.6834213),Walking (0.61658037),Monochrome (0.5442906),Gentleman (0.5128367)
Photograph (0.97562486),Black-and-white (0.8904043),Snapshot (0.8801572),Monochrome photography (0.8040481),Ceremony (0.7070131),Photography (0.7060428),Monochrome (0.70229715),Stock photography (0.67624575),Wedding (0.66469306),Room (0.6566393)
Photograph (0.97263366),Snapshot (0.845484),Black-and-white (0.8072261),Photography (0.6778865),Stock photography (0.5944116),Ceremony (0.58618647),Monochrome photography (0.5780445),Wedding (0.56194186),Monochrome (0.5442906),null (null)
Photograph (0.97785556),Ceremony (0.91206545),Snapshot (0.8801572),Event (0.85079294),Wedding (0.8286318),Vintage clothing (0.81454235),Black-and-white (0.74367446),Photography (0.6778865),Dress (0.67651975),Family (0.64656806)
Child (0.72773254),Event (0.710556),Ceremony (0.68753064),Flower girl (0.5474468),null (null),null (null),null (null),null (null),null (null),null (null)
Photograph (0.97746515),White (0.95470667),Facial expression (0.94474727),Black-and-white (0.89516586),Ceremony (0.8945001),Snapshot (0.87357086),Wedding (0.8552624),Event (0.8550754),Monochrome photography (0.8539845),Male (0.83209765)
Photograph (0.97826916),People (0.9393769),Snapshot (0.85507596),Standing (0.85329694),Dress (0.8347736),Wedding (0.8238276),Gown (0.82381815),Ceremony (0.8107715),Event (0.7750666),Formal wear (0.772493)
Photograph (0.9633902),People (0.94334805),Vintage clothing (0.8654133),Snapshot (0.8507856),Standing (0.8086237),Gentleman (0.76051193),Retro style (0.7500633),Family (0.649188),Picture frame (0.5915105),null (null)
Photograph (0.9674168),Gentleman (0.86448354),Snapshot (0.85507596),Vintage clothing (0.8026103),Picture frame (0.7901372),Retro style (0.71237993),Stock photography (0.66633123),Classic (0.63818127),Photography (0.62422496),Family (0.58309877)
Photograph (0.96003306),Snapshot (0.8523099),Picture frame (0.7731644),Room (0.71392286),Photography (0.62422496),Vintage clothing (0.5903255),Art (0.5813032),Family (0.55716366),Child (0.5202996),null (null)
Vehicle (0.91380996),Bicycle (0.90933585),Snapshot (0.87555885),Black-and-white (0.8265277),Bicycle wheel (0.7296491),Photography (0.72451985),Wheel (0.71703327),Recreation (0.6427465),Sports equipment (0.58807546),Bicycle saddle (0.52765465)
Photograph (0.9539291),People (0.9515836),Child (0.90893424),Snapshot (0.8507856),Room (0.6566393),Vintage clothing (0.64691377),Birth (0.6461563),Mother (0.63722503),Hospital (0.6291376),Event (0.6273696)
Photograph (0.9588809),Snapshot (0.8740874),Stock photography (0.7575393),Photography (0.7060428),Black-and-white (0.6834213),Adaptation (0.6696612),Games (0.5211578),Art (0.5021872),null (null),null (null)
Photograph (0.9779359),People (0.93434614),Ceremony (0.87209445),Dress (0.86797255),Wedding (0.86411947),Standing (0.85329694),Snapshot (0.83273077),Black-and-white (0.8265277),Event (0.7998849),Bride (0.75127864)
Land vehicle (0.9961627),Vehicle (0.99030316),Motor vehicle (0.9743773),Car (0.94402707),Classic car (0.83808225),Classic (0.83015776),Full-size car (0.7928519),Automotive exterior (0.7311965),Hardtop (0.7073171),Muscle car (0.68766516)
Photograph (0.9714754),Bridal veil (0.94009715),Bride (0.9381601),Wedding (0.9130028),Ceremony (0.91279936),Wedding dress (0.89405155),Dress (0.89253986),Gown (0.88859934),Bridal accessory (0.87630594),Groom (0.8708205)
Pink (0.8994856),Fun (0.8987518),Play (0.89683527),Leisure (0.8524397),Summer (0.8242818),Inflatable (0.80812544),Child (0.8074988),Backyard (0.7848723),Vacation (0.7312843),Games (0.7286817)
Snapshot (0.845484),Vacation (0.63693297),Toy (0.61797756),Art (0.5813032),Child (0.57330555),null (null),null (null),null (null),null (null),null (null)
Room (0.8608995),Textile (0.6563325),Art (0.65512854),Interior design (0.6497965),Visual arts (0.5502874),null (null),null (null),null (null),null (null),null (null)
Photograph (0.97294927),Snapshot (0.8892372),Black-and-white (0.7811979),Photography (0.6778865),Vintage clothing (0.65360206),Stock photography (0.62054056),Monochrome (0.60101867),Family (0.573045),null (null),null (null)
Photograph (0.9668756),Snapshot (0.8750807),Fun (0.7039424),Photography (0.6778865),Recreation (0.59429896),Swing (0.567234),Black-and-white (0.564079),Family (0.5179361),Style (0.50951844),Vintage clothing (0.50654763)
Vehicle (0.90670174),Camping (0.8265632),Tent (0.7539374),Car (0.6188847),Landscape (0.59305805),null (null),null (null),null (null),null (null),null (null)
House (0.5369301),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Event (0.7228018),Formal wear (0.6369653),Ceremony (0.55285627),Smile (0.5404296),Groom (0.53641737),null (null),null (null),null (null),null (null),null (null)
Event (0.710556),Cook (0.6069304),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
People (0.93702155),Event (0.8518974),Ceremony (0.8391249),Child (0.8139593),Flower girl (0.735872),Dress (0.66660774),Wedding (0.643743),Family (0.59733766),Headpiece (0.5934932),Bridal clothing (0.57740986)
Child (0.57330555),Family (0.52486706),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Room (0.7795167),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Room (0.8608995),Child (0.61345816),Family (0.5103591),Lighting accessory (0.50136036),null (null),null (null),null (null),null (null),null (null),null (null)
Room (0.7444316),Art (0.73102903),Wallpaper (0.68862134),Visual arts (0.5502874),Painting (0.50389564),null (null),null (null),null (null),null (null),null (null)
Photograph (0.9539291),Yellow (0.8363302),Snapshot (0.8291832),Vintage clothing (0.53451407),Retro style (0.5338513),null (null),null (null),null (null),null (null),null (null)
Photograph (0.9539291),Lighting (0.81839085),Event (0.8034472),Function hall (0.75787383),Dress (0.73837346),Ceremony (0.72045916),Wedding (0.7132176),Chandelier (0.6716037),Ballroom (0.6697081),Room (0.6566393)
Kick scooter (0.77678764),Outerwear (0.6577929),Vehicle (0.5631024),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Room (0.76465386),Furniture (0.5937384),Table (0.58647066),Interior design (0.54307204),Lighting accessory (0.50136036),null (null),null (null),null (null),null (null),null (null)
Wedding dress (0.9693283),Gown (0.9675511),Photograph (0.96371436),Bridal clothing (0.92668796),Dress (0.9174447),Bride (0.9141152),Ceremony (0.9011137),Formal wear (0.8966295),Wedding (0.8811499),Lady (0.85497016)
Room (0.9193609),Bed (0.81515914),Textile (0.7386701),Furniture (0.73779374),Child (0.57330555),Bed sheet (0.5366466),null (null),null (null),null (null),null (null)
Photograph (0.971141),Hair (0.96488434),People (0.9504782),Facial expression (0.9445514),Hairstyle (0.89933795),Snapshot (0.8970343),Black-and-white (0.8535379),Fun (0.801143),Vintage clothing (0.7818882),Photography (0.72451985)
Social group (0.95763063),Event (0.6273696),Christmas (0.5783439),Family (0.5765472),null (null),null (null),null (null),null (null),null (null),null (null)
Black-and-white (0.8535379),Snapshot (0.82030433),Vehicle (0.7712701),Photography (0.7060428),Boat (0.70516324),Monochrome (0.67593247),Monochrome photography (0.64696777),Recreation (0.6427465),Child (0.57330555),Watercraft (0.5586078)
People (0.9588589),Social group (0.95619744),Child (0.71164453),Family (0.6714258),Event (0.6704324),null (null),null (null),null (null),null (null),null (null)
Beige (0.73712415),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
People (0.9588589),Event (0.6942809),Family (0.6788508),Room (0.6566393),Child (0.57330555),Hospital (0.55707884),Sitting (0.54085284),null (null),null (null),null (null)
Formal wear (0.8851897),Event (0.81767076),Suit (0.8061219),Tuxedo (0.80224156),Fashion (0.7885616),Dress (0.7684006),Ceremony (0.7352232),Wedding (0.676562),Wedding dress (0.61813563),Gentleman (0.61686677)
Wedding dress (0.97517246),Photograph (0.97380036),Bride (0.9654639),Dress (0.9438646),Gown (0.94005936),Bridal clothing (0.92989105),Wedding (0.9216224),Ceremony (0.89891785),Lady (0.883115),Bridal veil (0.8814435)
People (0.9393769),Youth (0.83589876),Event (0.81645364),Child (0.7929112),Fun (0.7039424),Adaptation (0.6696612),Party (0.5739663),Family (0.5426583),Smile (0.5404296),null (null)
Photograph (0.9751248),Snapshot (0.8801572),Stock photography (0.7684599),Gentleman (0.70063037),Photography (0.6778865),Family (0.6156153),Black-and-white (0.564079),Vintage clothing (0.5471081),Monochrome (0.5442906),null (null)
Room (0.8084965),Classic (0.63818127),Antique (0.63077307),Furniture (0.61484426),null (null),null (null),null (null),null (null),null (null),null (null)
Sitting (0.9061843),Child (0.76547754),Chair (0.62610286),Furniture (0.5331731),null (null),null (null),null (null),null (null),null (null),null (null)
Product (0.8828333),Standing (0.8086237),Sitting (0.72911227),Child (0.72773254),Fun (0.7039424),Chair (0.56804955),Furniture (0.5331731),null (null),null (null),null (null)
Monochrome (0.64315295),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Photograph (0.9766345),Wedding dress (0.96744776),Gown (0.9449241),Bride (0.93072677),Veil (0.92196953),Bridal clothing (0.91425097),Dress (0.901147),Lady (0.8985191),Black-and-white (0.8904043),Bridal veil (0.88810885)
Photograph (0.97307056),Standing (0.90538937),Snapshot (0.8617218),Gentleman (0.7103473),Black-and-white (0.6834213),Event (0.6273696),Photography (0.62422496),Monochrome (0.60101867),null (null),null (null)
Photograph (0.9756653),People (0.9600368),Standing (0.8695495),Ceremony (0.8401653),Snapshot (0.8358544),Wedding (0.8318595),Vintage clothing (0.79157007),Event (0.7783317),Black-and-white (0.74367446),Dress (0.72761357)
null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
People in nature (0.9789142),Atmospheric phenomenon (0.9002345),Standing (0.89371824),Tree (0.86865306),Forest (0.7723868),Grass (0.76197845),Leaf (0.75946116),Snow (0.74425673),Sunlight (0.72686327),Photography (0.7060428)
