tag 1,tag 2,tag 3,tag 4,tag 5,tag 6,tag 7,tag 8,tag 9,tag 10
Photograph (0.9643179),Snapshot (0.8713549),Photography (0.6778865),Room (0.6566393),Vintage clothing (0.6326264),Picture frame (0.617866),Stock photography (0.5944116),Family (0.58309877),Art (0.5021872),null (null)
Photograph (0.97358567),Vintage clothing (0.9085521),Snapshot (0.87860924),Gentleman (0.8549126),Retro style (0.8424339),Black-and-white (0.74367446),Photography (0.6778865),Stock photography (0.67624575),Monochrome (0.67593247),Family (0.5798942)
Motor vehicle (0.98279274),Vehicle (0.96319395),Car (0.9531706),Classic car (0.90998656),Classic (0.8841431),Photography (0.7060428),Tree (0.68692183),Sedan (0.680966),Vintage car (0.6246113),Coupé (0.61081207)
Photograph (0.9753368),Motor vehicle (0.9743773),People (0.94658375),Snapshot (0.8523099),Vehicle (0.8489533),Luxury vehicle (0.82225096),Car (0.8207492),Photography (0.7876507),Fun (0.7039424),Black-and-white (0.6834213)
Photograph (0.9747726),Gown (0.9352817),Wedding dress (0.92166835),Dress (0.91917557),Child (0.90298444),Bridal clothing (0.87841195),Lady (0.8641155),Wedding (0.84839827),Ceremony (0.8472053),Standing (0.842263)
Motor vehicle (0.98018134),Photograph (0.9717129),Classic (0.9262727),Vehicle (0.8579866),Snapshot (0.85373634),Car (0.81560165),Vehicle door (0.79706705),Photography (0.73799706),Retro style (0.6609029),Family car (0.63017946)
Photograph (0.97693545),Motor vehicle (0.96272266),Snapshot (0.87304014),Vehicle (0.8391488),Classic (0.8382813),Photography (0.7940417),Car (0.752108),Bride (0.7134232),Retro style (0.6800467),Stock photography (0.67624575)
Photograph (0.97472733),Standing (0.9312532),Snapshot (0.90193707),Retro style (0.8790989),Shoulder (0.8733462),Lady (0.87157136),Black-and-white (0.8415112),Vintage clothing (0.79386705),Fashion (0.7885616),Dress (0.78785384)
Photograph (0.9664844),Standing (0.8835848),Snapshot (0.878202),Room (0.6566393),Photography (0.62422496),Gentleman (0.61686677),Vintage clothing (0.5996707),Black-and-white (0.564079),Door (0.543206),House (0.5369301)
Photograph (0.9778157),Standing (0.93667734),Vintage clothing (0.892862),Snapshot (0.88851535),Retro style (0.8852265),Classic (0.68556935),Black-and-white (0.6834213),Photography (0.6778865),Monochrome (0.64315295),Family (0.64103794)
Photograph (0.97701067),Snapshot (0.8927349),Vintage clothing (0.85203207),Standing (0.83563834),Stock photography (0.780304),Photography (0.7060428),Event (0.6942809),Gentleman (0.6783096),Family (0.6694617),Ceremony (0.61268026)
Photograph (0.9738528),Snapshot (0.8635382),Tree (0.778368),Photography (0.75693494),Stock photography (0.7414734),Gentleman (0.7103473),Gesture (0.6845906),Adaptation (0.6696612),Vintage clothing (0.666171),Formal wear (0.6369653)
Photograph (0.97336257),Male (0.84907544),Bride (0.83731395),Flower Arranging (0.8369425),Ceremony (0.83268),Wedding (0.8286318),Snapshot (0.82030433),Groom (0.8045237),Wedding dress (0.798226),Flower (0.79242784)
Photograph (0.97773665),Veil (0.8820969),Snapshot (0.880887),Bridal veil (0.8797351),Wedding dress (0.8708366),Vintage clothing (0.8654133),Ceremony (0.8610859),Wedding (0.8383862),Gown (0.8268146),Dress (0.8059697)
Photograph (0.9683652),Child (0.93483984),Product (0.93479854),Baby (0.8900607),Snapshot (0.87014455),Baby Products (0.7639633),Photographic paper (0.7014777),Photography (0.6778865),Birth (0.67174035),Room (0.6566393)
Photograph (0.96917427),Snapshot (0.87860924),Picture frame (0.82947266),Photography (0.72451985),Child (0.71164453),Photographic paper (0.68929136),Baby (0.6713724),Stock photography (0.5944116),Birth (0.50666255),null (null)
Photograph (0.96486944),Product (0.9618442),Snapshot (0.88193256),Baby carriage (0.85121214),Baby Products (0.82591003),Child (0.8199519),Vehicle (0.79219073),Black-and-white (0.74367446),Photography (0.7060428),Tricycle (0.693407)
People (0.97702324),Photograph (0.9699864),Snapshot (0.87014455),Family (0.7692724),Photography (0.6778865),Adaptation (0.6696612),Event (0.6273696),Vintage clothing (0.62497914),Photo caption (0.616398),Child (0.61345816)
Photograph (0.9766722),People (0.9743475),Snapshot (0.8916979),Standing (0.8280285),Event (0.7783317),Classic (0.76693135),Family (0.7585836),Vintage clothing (0.7534916),Ceremony (0.71724904),Photography (0.6778865)
Photograph (0.97243494),Snapshot (0.86438924),Black-and-white (0.86344093),Stock photography (0.7663289),Photography (0.7640012),Monochrome photography (0.73341304),Monochrome (0.70229715),Gesture (0.517318),null (null),null (null)
Photograph (0.97139376),Standing (0.94509256),Snapshot (0.87014455),Gentleman (0.742124),Black-and-white (0.6834213),Photography (0.6778865),null (null),null (null),null (null),null (null)
Photograph (0.97727466),Ceremony (0.88008684),Wedding (0.8791692),Snapshot (0.87249446),Black-and-white (0.8535379),Wedding dress (0.8250535),Bride (0.82439536),Bridal veil (0.8239321),Male (0.8184922),Groom (0.8080327)
Photograph (0.9760611),People (0.93434614),Snapshot (0.8695101),Standing (0.8481004),Black-and-white (0.7811979),Vintage clothing (0.7566501),Child (0.74183375),Photography (0.73799706),Classic (0.68556935),Stock photography (0.63961476)
Photograph (0.9796522),Facial expression (0.9445514),Snapshot (0.8892372),Black-and-white (0.8788672),Monochrome photography (0.8442068),Photography (0.83496785),Stock photography (0.7976542),Wedding (0.7924649),Event (0.77152836),Monochrome (0.75798035)
Photograph (0.9750383),Motor vehicle (0.96272266),Classic (0.8726175),Snapshot (0.87193304),Vehicle (0.79019696),Photography (0.75693494),Automotive design (0.72283965),Car (0.7203096),Bride (0.69108063),Luxury vehicle (0.6844155)
Photograph (0.97746515),Snapshot (0.8859124),Vintage clothing (0.86654264),Black-and-white (0.86344093),Ceremony (0.85105413),Wedding (0.8383862),Bridal veil (0.82622707),Bride (0.7939479),Wedding dress (0.77569723),Monochrome photography (0.76222306)
Photograph (0.9752948),Snapshot (0.8635382),Gentleman (0.8301639),Black-and-white (0.7811979),Vintage clothing (0.6985625),Monochrome photography (0.64696777),Monochrome (0.64315295),Stock photography (0.63961476),Ceremony (0.6345439),Photography (0.62422496)
Photograph (0.96878475),Standing (0.9317163),Snapshot (0.89738005),Black-and-white (0.8265277),Photography (0.7839645),Gentleman (0.7756498),Stock photography (0.67624575),Monochrome (0.67593247),Brick (0.6078866),Window (0.59105)
Photograph (0.97915995),Veil (0.9741017),Bridal veil (0.94566154),Facial expression (0.9445514),Bride (0.9141152),Monochrome photography (0.91139317),Ceremony (0.9033041),Snapshot (0.8899357),Wedding (0.88726205),Black-and-white (0.88501847)
Photograph (0.9768603),Snapshot (0.87193304),Black-and-white (0.86344093),Bridal veil (0.86166096),Wedding (0.857007),Ceremony (0.8234761),Male (0.80898863),Veil (0.80109054),Groom (0.78825665),Bride (0.78733516)
Photograph (0.9700929),People (0.9393769),Ceremony (0.72357744),Family (0.7117523),Child (0.69306356),Stock photography (0.67624575),Photography (0.62422496),Wedding (0.57959265),Black-and-white (0.564079),Canidae (0.53738993)
Photograph (0.97059536),Gentleman (0.883154),Snapshot (0.8805255),Standing (0.83563834),Vintage clothing (0.8218173),Suit (0.6634969),Photography (0.62422496),Stock photography (0.5944116),Black-and-white (0.564079),Picture frame (0.5530285)
Photograph (0.9727621),Retro style (0.94865215),Clothing (0.9373966),Standing (0.9260707),Vintage clothing (0.924037),Lady (0.90641123),Dress (0.89253986),Snapshot (0.8899357),Shoulder (0.8860629),Classic (0.7460761)
Photograph (0.9768603),Vintage clothing (0.89538336),Snapshot (0.88193256),Retro style (0.8751114),Standing (0.8621847),Classic (0.82096326),Dress (0.74332196),Gentleman (0.742124),Ceremony (0.7352232),Wedding (0.70441014)
Photograph (0.97463584),Snapshot (0.8887587),Black-and-white (0.8535379),Vintage clothing (0.84528613),Photography (0.73799706),Monochrome (0.70229715),Stock photography (0.66633123),Retro style (0.6609029),Dress (0.5970176),Monochrome photography (0.5780445)
Photograph (0.9784005),Snapshot (0.8937296),Photography (0.8300313),Black-and-white (0.8265277),Stock photography (0.7912517),Fun (0.7684728),Happy (0.6620502),Gesture (0.6599508),Monochrome photography (0.5780445),Child (0.57330555)
Photograph (0.9749067),Vintage clothing (0.8911435),Snapshot (0.8825996),Lady (0.85497016),Retro style (0.8506291),Classic (0.7198517),Stock photography (0.63961476),Dress (0.63002753),Family (0.5798942),null (null)
Photograph (0.95497644),People (0.94334805),Snapshot (0.8523099),Event (0.7634309),Ceremony (0.71724904),Family (0.6621861),Room (0.6566393),Picture frame (0.59932506),Art (0.5813032),Vintage clothing (0.58045346)
Photograph (0.9722285),Snapshot (0.8681764),Ceremony (0.84523517),Wedding (0.8334818),Picture frame (0.7864541),Formal wear (0.7795543),Event (0.7475101),Dress (0.73314714),Room (0.71392286),Photography (0.7060428)
Photograph (0.9685086),Brown (0.8123107),Ceremony (0.752977),Event (0.6273696),Wedding (0.62571615),Art (0.6253477),Photography (0.62422496),Anniversary (0.6133514),Floristry (0.60697454),Flower Arranging (0.5994208)
Photograph (0.9605495),Picture frame (0.9113394),Snapshot (0.845484),Painting (0.7456269),Art (0.73102903),Room (0.6566393),Photography (0.62422496),Stock photography (0.5944116),Collection (0.50017774),null (null)
Photograph (0.9685086),People (0.93702155),Snapshot (0.8713549),Vintage clothing (0.84388),Classic (0.83015776),Photography (0.6778865),Family (0.6504648),Stock photography (0.62054056),Child (0.57330555),Black-and-white (0.564079)
Photograph (0.977199),Snapshot (0.87249446),Male (0.80898863),Wedding (0.78468436),Ceremony (0.7814452),Groom (0.7788484),Formal wear (0.7470953),Black-and-white (0.74367446),Photography (0.72451985),Bride (0.7158546)
Photograph (0.9726983),Snapshot (0.8760254),Room (0.83524936),Stock photography (0.78542733),Black-and-white (0.7811979),Photography (0.7060428),Table (0.6379098),Furniture (0.5937384),Monochrome (0.5442906),History (0.5410714)
Photograph (0.9741582),Snapshot (0.86599094),Vintage clothing (0.79386705),Room (0.6566393),Retro style (0.6392397),Photography (0.62422496),Gesture (0.6065988),Black-and-white (0.564079),Picture frame (0.5530285),null (null)
Photograph (0.97617733),Snapshot (0.8877682),Vintage clothing (0.8046922),Retro style (0.7789116),Classic (0.76693135),Photography (0.73799706),Black-and-white (0.6834213),Stock photography (0.67624575),Dress (0.66660774),Family (0.5946993)
People (0.9690264),Photograph (0.96791106),Child (0.90751314),Snapshot (0.85373634),Photography (0.72451985),Picture frame (0.699558),Family (0.6714258),Mother (0.66112804),Photo caption (0.6294999),Black-and-white (0.564079)
People (0.9687869),Photograph (0.9605495),Child (0.85948277),Snapshot (0.8586587),Black-and-white (0.74367446),Family (0.69050527),Monochrome (0.67593247),Birth (0.65965086),Photography (0.62422496),Father (0.5458202)
People (0.96598387),Photograph (0.9539291),Snapshot (0.845484),Child (0.84449667),Family (0.7111),Sitting (0.62504894),Photography (0.62422496),Sibling (0.5776553),Black-and-white (0.564079),Vintage clothing (0.5210319)
Photograph (0.9753785),Snapshot (0.8750807),Black-and-white (0.8072261),Event (0.7813612),Monochrome (0.7240434),Vintage clothing (0.7123725),Dress (0.66660774),Ceremony (0.64721125),History (0.62617904),Photography (0.62422496)
Photograph (0.96668327),Snapshot (0.8688545),Dress (0.7719663),Stock photography (0.70398533),Black-and-white (0.6834213),Gown (0.6662649),Photography (0.62422496),Classic (0.5666435),null (null),null (null)
Photograph (0.97697306),Gown (0.9690627),Dress (0.9529674),Wedding dress (0.94974047),Bride (0.9458592),Bridal clothing (0.9127275),Ceremony (0.9040335),Lady (0.8641155),Standing (0.8481004),Wedding (0.8416907)
Photograph (0.97578555),Lady (0.9158805),Standing (0.9138085),Vintage clothing (0.8810933),Dress (0.87393016),Snapshot (0.8635382),Classic (0.84552145),Formal wear (0.8349418),Child (0.8307369),Wedding dress (0.7942336)
Photograph (0.9766722),Black-and-white (0.8904043),Snapshot (0.8597303),Formal wear (0.8410256),Ceremony (0.8234761),Wedding (0.81590176),Male (0.80898863),Standing (0.8086237),Event (0.7676698),Dress (0.76468235)
Photograph (0.9682179),Cake decorating (0.8374994),Snapshot (0.82030433),Anniversary (0.64645183),Family (0.6318894),Icing (0.60228735),Stock photography (0.5944116),Cook (0.57061225),Black-and-white (0.564079),Food (0.55124724)
