tag 1,pct 1,tag 2,pct 2,tag 3,pct 3,tag 4,pct 4,tag 5,pct 5
70s,0.54203236,80s,0.30609033,90s,0.091718495,60s,0.050392456,50s,0.0073130033
70s,0.5980348,60s,0.189525,80s,0.13559902,90s,0.05254899,50s,0.014973022
80s,0.41517487,90s,0.3478014,70s,0.19542468,60s,0.036931966,50s,0.0035244857
80s,0.6151511,90s,0.25864935,70s,0.09793559,60s,0.020529265,30s,0.0032059643
70s,0.56387943,80s,0.1968867,60s,0.12585455,90s,0.069304004,50s,0.031423908
80s,0.66752064,70s,0.16765355,90s,0.10815989,60s,0.03752857,50s,0.013199349
80s,0.71991706,90s,0.23641567,70s,0.04186658,60s,0.0013854007,50s,0.00020449056
80s,0.45902357,70s,0.31714195,90s,0.118121475,60s,0.07914611,50s,0.014284966
70s,0.42548558,60s,0.4136459,90s,0.056560107,80s,0.04476455,50s,0.039980847
70s,0.38409063,80s,0.22802831,60s,0.153585,90s,0.078781426,50s,0.06934591
40s,0.3599715,00s,0.21968524,10s,0.20625989,50s,0.17120324,20s,0.023046877
20s,0.34228206,00s,0.22202013,40s,0.13048115,50s,0.1287813,30s,0.087650456
10s,0.35087064,00s,0.3009179,40s,0.25089556,50s,0.054368597,20s,0.02573325
00s,0.43092307,10s,0.35766214,40s,0.11595107,20s,0.05363042,50s,0.027154742
40s,0.6746637,50s,0.2752681,00s,0.019485459,60s,0.011935052,10s,0.0111471005
00s,0.39458475,10s,0.1778968,30s,0.15195075,20s,0.14551507,40s,0.06493533
00s,0.38480657,10s,0.34752193,40s,0.122101635,20s,0.07295251,50s,0.043407287
10s,0.48228312,00s,0.21217695,20s,0.11330133,40s,0.06691455,30s,0.057922658
40s,0.40503317,10s,0.22396195,50s,0.15878178,00s,0.14920434,20s,0.039279696
10s,0.65810126,00s,0.124729216,20s,0.0881563,40s,0.051299103,30s,0.04375573
30s,0.49143952,20s,0.36228934,50s,0.053312957,00s,0.038645037,10s,0.033382017
10s,0.33714992,20s,0.24212334,40s,0.13620272,50s,0.10559887,00s,0.09905406
20s,0.45751745,30s,0.1485279,10s,0.14522876,00s,0.120976724,40s,0.07481892
10s,0.5824538,00s,0.14902894,40s,0.11793418,20s,0.08186948,50s,0.042296834
10s,0.6494026,00s,0.15236506,20s,0.07611194,40s,0.04916895,50s,0.045305528
10s,0.5250473,00s,0.26656032,20s,0.10713505,40s,0.042949013,50s,0.029067298
