beeld URL,modelnaam,tag 1,tag 2,tag 3,tag 4,tag 5,tag 6,tag 7,tag 8,tag 9,tag 10,tag 11, tag 12,    tag 13,tag 14,tag 15,tag 16,tag 17,tag 18,tag 19,tag 20
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/FO-70-01016/full/full/0/default.jpg,General,volk (0.99853396),veel (0.9942417),groep (abstractie) (0.9902796),groep (0.979451),volwassen (0.97219414),administratie (0.9525987),leider (0.9458079),menigte (0.9442347),mannelijk (0.9375879),militaire tak (0.8909321),kleding (0.8689669),vrouw (0.86710256),ceremonie (0.86180013),oorlog (0.8532373),toeschouwers (waarnemer) (0.80855674),soldaat (0.8058605),behuizing (0.7824929),kind (0.7680601),verscheidene (0.765916),muziek (0.7345968)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/FO-70-01019/full/full/0/default.jpg,General,volk (0.9745041),ceremonie (0.9736775),huwelijk (ritueel) (0.9531164),vrouw (0.9404772),kleding (0.93838656),jurk (0.93636084),volwassen (0.92111886),bruid (0.91054136),portret (0.8784314),religie (0.8771602),toga (0.87295794),hoofddeksel (0.8556032),dramaturgie (0.8449291),een (0.84367394),mode (0.84275264),film (0.831201),viering (0.80697536),ruimte (toegankelijk deel van een gebouw) (0.8034897),stadium (theater) (0.79897404),huwelijk (burgerlijke staat) (0.7851316)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/FO-70-01024/full/full/0/default.jpg,General,volk (0.9994025),groep (abstractie) (0.98196363),volwassen (0.97716504),twee (0.9595432),kind (0.95876664),vrouw (0.9564034),kleding (0.952788),actrice (0.93361175),gezin (0.9254613),nageslacht (0.916011),drie (0.9052388),vier (0.8961363),administratie (0.8810958),verscheidene (0.87580174),mannelijk (0.8747917),broers en zussen (0.87291574),gezichtsuitdrukking (0.87160516),leider (0.87148595),portret (0.85540223),behuizing (0.83629394)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/FO-70-01025/full/full/0/default.jpg,General,volk (0.99536866),een (0.972417),volwassen (0.96733785),straat (verharde weg) (0.9512974),vrouw (0.9328348),mannelijk (0.9301276),monochroom (0.92808455),huwelijk (ritueel) (0.8978176),kleding (0.88597524),drempel (deur) (0.87910295),portret (0.8585745),behuizing (0.8456649),deur (0.84160304),twee (0.827476),schaduw (0.8032375),administratie (0.7820374),muziek (0.73691165),licht (0.7353456),raam (0.72238266),kind (0.72061896)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/FO-70-01026/full/full/0/default.jpg,General,volk (0.9964401),huwelijk (ritueel) (0.9947047),bruid (0.9869804),hoofddeksel (0.97819793),bruidegom (0.97240007),volwassen (0.9689059),groep (abstractie) (0.9657072),vrouw (0.96497107),kleding (0.9586654),twee (0.9387565),jurk (0.9288051),leider (0.9222944),administratie (0.9184978),mannelijk (0.9028435),ceremonie (0.88515186),verscheidene (0.8761714),vijf (0.87419397),rig (kleding) (0.8508109),actrice (0.8382775),prinses (0.8254937)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/FO-70-01029/full/full/0/default.jpg,General,volk (0.99966556),groep (abstractie) (0.9938632),groep (0.9922374),veel (0.9879049),volwassen (0.9792935),verscheidene (0.9635676),kleding (0.95598555),vrouw (0.9542896),kind (0.9385437),administratie (0.93564713),leider (0.9350748),mannelijk (0.91776395),hoofddeksel (0.9037188),nageslacht (0.8903347),rig (kleding) (0.88996065),behuizing (0.8868653),straat (verharde weg) (0.8624494),vijf (0.86121047),voertuig (0.85925055),ceremonie (0.84771544)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/FO-70-01030/full/full/0/default.jpg,General,groep (abstractie) (0.9980333),volk (0.9959898),groep (0.99434245),leider (0.9930736),administratie (0.9805374),vijf (0.9737591),volwassen (0.97087646),verscheidene (0.96917665),veel (0.96552163),vier (0.93925965),stoel (0.92690825),mannelijk (0.9171592),vrouw (0.91647995),portret (0.8521863),gezichtsuitdrukking (0.8461337),behuizing (0.83758354),kleding (0.79124486),ruimte (toegankelijk deel van een gebouw) (0.77734506),vergadering (0.76008785),drie (0.73673236)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/FO-70-01033/full/full/0/default.jpg,General,volk (0.9996232),groep (0.99499404),volwassen (0.9861704),groep (abstractie) (0.983647),straat (verharde weg) (0.98272586),veel (0.97725284),behuizing (0.97145677),mannelijk (0.97074604),twee (0.9494659),kind (0.93354774),monochroom (0.9278641),verscheidene (0.9208946),kleding (0.9157875),vrouw (0.91500944),een (0.88669133),administratie (0.88110536),drie (0.87956625),vier (0.8756728),militaire tak (0.8678816),oorlog (0.865216)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/FO-70-01035/full/full/0/default.jpg,General,volk (0.9977894),kleding (0.9686771),volwassen (0.9676081),administratie (0.96458024),vrouw (0.95668066),actrice (0.93968356),mannelijk (0.9366542),twee (0.927703),groep (abstractie) (0.92671967),portret (0.9100517),leider (0.90670675),drie (0.9046724),acteur (0.881734),Retro (0.87800264),groep (0.87240845),nageslacht (0.86823475),rig (kleding) (0.8540901),kind (0.84007573),vier (0.8390291),gezin (0.832007)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/FO-70-01036/full/full/0/default.jpg,General,volk (0.9992235),groep (abstractie) (0.9926024),groep (0.97756803),kind (0.9733658),volwassen (0.97143734),vrouw (0.9642507),kleding (0.9589561),verscheidene (0.9572929),veel (0.9562739),nageslacht (0.95492196),mannelijk (0.93886197),gezin (0.92533374),huwelijk (ritueel) (0.924497),rig (kleding) (0.9161893),vier (0.91404426),actrice (0.9130493),administratie (0.9006343),dans (0.89946353),vijf (0.88486695),recreatie (activiteit) (0.87314415)
