beeld URL,modelnaam,tag 1,tag 2,tag 3,tag 4,tag 5,tag 6,tag 7,tag 8,tag 9,tag 10,tag 11, tag 12,    tag 13,tag 14,tag 15,tag 16,tag 17,tag 18,tag 19,tag 20
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/12787118_10154024591708156_1304561737_o.jpg/full/full/0/default.jpg,General,people (0.97699213),rain (0.9689534),fall (0.9675321),calamity (0.9497271),winter (0.9434107),storm (0.9391093),abandoned (0.93703145),family (0.9295549),demolition (0.924584),man (0.92010134),child (0.91477424),woman (0.9118586),flood (0.9063781),street (0.90580523),landscape (0.89751494),wood (0.8950854),police (0.88720727),pollution (0.8803405),urban (0.8761287),waste (0.86939275)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/15218630_10154782608393156_880431211_n.jpg/full/full/0/default.jpg,General,tree (0.9759414),fall (0.97546774),wood (0.97295636),people (0.9728589),nature (0.9655198),one (0.9574064),outdoors (0.95662093),adult (0.95128703),man (0.9495035),girl (0.9430868),park (0.9311322),grass (0.92273694),woman (0.91162765),weapon (0.90249044),portrait (0.89651495),war (0.8874212),leaf (0.8839539),child (0.8789174),landscape (0.8669119),solo (0.85315704)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/15281139_10154782608413156_104558771_n.jpg/full/full/0/default.jpg,General,people (0.9857217),wood (0.9803475),tree (0.9715964),fall (0.96869344),man (0.9669902),adult (0.9656006),one (0.9649442),nature (0.94720155),outdoors (0.9345214),war (0.9267864),girl (0.92022556),weapon (0.91158456),leaf (0.9043579),park (0.90225923),child (0.8986342),grass (0.8962697),portrait (0.89061826),landscape (0.8621958),woman (0.85161555),battle (0.8511542)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/IMG_20190126_122803.jpg/full/full/0/default.jpg,General,dog (0.99686027),animal (0.99047816),cute (0.9830634),pet (0.97987854),mammal (0.9773433),portrait (0.97170264),retriever (0.9549091),canine (0.9528912),puppy (0.9400669),baby (0.9153871),funny (0.9091343),fur (0.90698487),domestic (0.8951496),no person (0.8887579),adorable (0.8744238),eye (0.87174195),friendship (0.841611),hair (0.82332855),nose (0.819914),nature (0.8194253)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/IMG_20190126_132952.jpg/full/full/0/default.jpg,General,dog (0.9982084),pet (0.9865536),animal (0.9841027),retriever (0.98384064),mammal (0.98320043),canine (0.9724564),cute (0.9609549),farm (0.95934176),domestic (0.9573911),puppy (0.95676017),no person (0.95244575),grass (0.9371578),portrait (0.9313866),baby (0.906926),two (0.89674145),family (0.88615626),hay (0.87463176),field (0.85942334),one (0.8546938),fur (0.853794)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/IMG_20190212_190408.jpg/full/full/0/default.jpg,General,lunch (0.9721429),indoors (0.9620183),woman (0.96044815),child (0.95599055),meal (0.9248443),people (0.9109266),hungry (0.90199095),dairy product (0.89926726),food (0.891454),dinner (0.8809002),dining (0.8594469),breakfast (0.85705227),nutrition (0.8445393),enjoyment (0.84030807),cooking (0.832131),grow (0.8137734),knife (0.8068472),family (0.7909146),man (0.7862115),tableware (0.78396755)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/IMG_20190212_221806.jpg/full/full/0/default.jpg,General,family (0.99341196),love (0.9931451),affection (0.9835134),child (0.9834011),togetherness (0.9798921),embrace (0.97381645),son (0.97233826),reclining (0.96975344),bed (0.94894326),woman (0.9319734),portrait (0.9189856),girl (0.91766167),sofa (0.9112911),man (0.9111422),comfort (0.9086182),couple (0.9057266),bedroom (0.9037445),bedtime (0.9016991),two (0.89266324),sleep (0.88017637)
http://ec2-18-191-252-182.us-east-2.compute.amazonaws.com:8182/iiif/2/IMG_20190219_174716.jpg/full/full/0/default.jpg,General,portrait (0.9704371),man (0.9623063),funny (0.95555955),fashion (0.9425742),fine-looking (0.93490344),eye (0.93367887),fun (0.93224424),child (0.9194698),indoors (0.8926615),serious (0.88724625),casual (0.88641775),people (0.884367),studio (0.87062794),intelligence (0.86712384),young (0.866851),surprise (0.8419457),cute (0.83411425),victory (0.8330015),friendly (0.81615067),pensive (0.80905324)
